Date,TTF
2017-11,20.30500030517578
2017-12,19.6200008392334
2018-01,17.8799991607666
2018-02,17.350000381469727
2018-03,18.225000381469727
2018-05,22.579999923706055
2018-06,21.875
2018-08,25.834999084472656
2018-09,27.329999923706055
2018-10,24.334999084472656
2018-11,24.690000534057617
2018-12,21.979999542236328
2019-01,19.850000381469727
2019-02,17.815000534057617
2019-03,14.21500015258789
2019-04,14.390000343322754
2019-05,11.204999923706055
2019-06,10.114999771118164
2019-07,11.0
2019-08,12.795000076293945
2019-10,16.135000228881836
2019-11,16.329999923706055
2020-01,9.755000114440918
2020-02,8.875
2020-04,6.21999979019165
2020-05,4.385000228881836
2020-06,6.164999961853027
2020-07,6.025000095367432
2020-08,11.239999771118164
2020-09,13.28499984741211
2020-10,14.0600004196167
2020-12,19.125
2021-01,19.81999969482422
2021-02,15.694999694824219
2021-03,18.9950008392334
2021-04,23.28499984741211
2021-05,24.93000030517578
2021-06,34.62200164794922
2021-07,40.75600051879883
2021-09,97.77400207519531
2021-10,64.86399841308594
2021-11,92.51300048828125
2021-12,70.34300231933594
2022-01,84.6719970703125
2022-02,98.59500122070312
2022-03,125.90599822998047
2022-04,99.44999694824219
2022-06,144.51400756835938
2022-07,190.9149932861328
2022-08,239.90699768066406
2022-09,188.8000030517578
2022-10,123.35199737548828
2022-11,146.39700317382812
2022-12,76.31500244140625
2023-02,46.665000915527344
2023-03,47.845001220703125
2023-04,38.53799819946289
2023-05,26.851999282836914
2023-06,37.10300064086914
2023-07,28.365999221801758
2023-08,35.02899932861328
2023-09,41.85900115966797
2023-11,42.090999603271484
2023-12,32.349998474121094
2024-01,30.235000610351562
2024-02,24.864999771118164
2024-03,27.34000015258789
2024-04,29.118000030517578
2024-05,34.222999572753906
2024-06,34.47999954223633
2024-07,35.86800003051758
2024-08,39.823001861572266
2024-10,40.5880012512207
2024-11,47.81100082397461
2025-01,53.23699951171875
2025-02,44.31999969482422
2025-03,40.66699981689453
2025-04,32.31700134277344
2025-05,34.22800064086914
2025-07,35.27899932861328
2025-08,31.621999740600586
2025-09,31.410999298095703
2025-10,31.121999740600586
2025-11,28.816999435424805
2025-12,28.160999298095703
2026-01,39.28499984741211
2026-03,50.19499969482422
