Date,USD_KRW
2015-01,1101.0
2015-02,0.11025399714708328
2015-03,1105.5
2015-04,1068.969970703125
2015-05,1107.0
2015-06,1118.219970703125
2015-07,1170.77001953125
2015-08,1177.5999755859375
2015-09,1194.1600341796875
2015-10,0.11427299678325653
2015-11,1154.8299560546875
2015-12,1175.43994140625
2016-01,0.12338099628686905
2016-02,1241.1300048828125
2016-03,1140.22998046875
2016-04,1143.0
2016-05,1198.449951171875
2016-06,1152.1500244140625
2016-07,0.11392100155353546
2016-08,1118.3800048828125
2016-09,1101.6199951171875
2016-10,1146.699951171875
2016-11,1167.8599853515625
2016-12,1206.260009765625
2017-01,1169.2099609375
2017-02,1133.93994140625
2017-03,1117.02001953125
2017-04,1135.6400146484375
2017-05,1123.9000244140625
2017-06,1146.1400146484375
2017-07,1124.050048828125
2017-08,1123.3299560546875
2017-09,0.11537999659776688
2017-10,1123.449951171875
2017-11,1080.6600341796875
2017-12,1066.3800048828125
2018-01,1072.5400390625
2018-02,1079.3900146484375
2018-03,1059.9000244140625
2018-04,1067.5999755859375
2018-05,1075.030029296875
2018-06,1120.5400390625
2018-07,1116.6700439453125
2018-08,1115.449951171875
2018-09,1109.1600341796875
2018-10,1137.699951171875
2018-11,1117.02001953125
2018-12,1116.300048828125
2019-01,1109.0
2019-02,1115.0999755859375
2019-03,1135.9000244140625
2019-04,1158.7900390625
2019-05,1188.3800048828125
2019-06,1155.510009765625
2019-07,1180.6500244140625
2019-08,1207.1600341796875
2019-09,1201.9100341796875
2019-10,1163.699951171875
2019-11,1181.5699462890625
2019-12,1156.3499755859375
2020-01,1187.1199951171875
2020-02,1200.0999755859375
2020-03,1222.699951171875
2020-04,1210.7900390625
2020-05,1230.27001953125
2020-06,1198.489990234375
2020-07,1189.56005859375
2020-08,1179.5899658203125
2020-09,1167.8599853515625
2020-10,1129.52001953125
2020-11,1104.3299560546875
2020-12,1086.4200439453125
2021-01,1117.4300537109375
2021-02,1123.3699951171875
2021-03,1132.3199462890625
2021-04,1106.6300048828125
2021-05,1112.8499755859375
2021-06,1130.510009765625
2021-07,1150.6300048828125
2021-08,1165.510009765625
2021-09,1187.4300537109375
2021-10,1174.3800048828125
2021-11,1190.739990234375
2021-12,1189.8900146484375
2022-01,1207.7099609375
2022-02,1197.5899658203125
2022-03,1210.43994140625
2022-04,1263.3800048828125
2022-05,1236.1700439453125
2022-06,1301.72998046875
2022-07,1302.8699951171875
2022-08,1350.18994140625
2022-09,1430.1700439453125
2022-10,1421.6500244140625
2022-11,1325.3699951171875
2022-12,1260.9100341796875
2023-01,1231.5
2023-02,1318.3499755859375
2023-03,1296.5
2023-04,1337.3199462890625
2023-05,1319.7900390625
2023-06,1323.0699462890625
2023-07,1272.3900146484375
2023-08,1323.030029296875
2023-09,1351.9300537109375
2023-10,1348.0699462890625
2023-11,1288.3599853515625
2023-12,1293.530029296875
2024-01,1326.6199951171875
2024-02,1333.3800048828125
2024-03,1345.2900390625
2024-04,1374.6400146484375
2024-05,1375.6199951171875
2024-06,1380.280029296875
2024-07,1383.5
2024-08,1336.5699462890625
2024-09,1309.300048828125
2024-10,1378.5699462890625
2024-11,1399.8599853515625
2024-12,1467.3900146484375
2025-01,1441.6600341796875
2025-02,1449.8599853515625
2025-03,1469.4100341796875
2025-04,1431.1600341796875
2025-05,1381.97998046875
2025-06,1363.5899658203125
2025-07,1392.52001953125
2025-08,1386.969970703125
2025-09,1399.3299560546875
2025-10,1424.02001953125
2025-11,1466.1300048828125
2025-12,1437.9100341796875
2026-01,1449.699951171875
2026-02,1432.3199462890625
2026-03,1475.97998046875
